CAS,LogP,smiles_string
036905-00-7,5.16,c1c(C(F)(F)F)cc(C(F)(F)F)cc1NN=C(C(#N))C(=O)OC
036905-04-1,5.15,c1c(Cl)c(Cl)cc(Cl)c1NN=C(C(#N))C(=O)OC
036913-39-0,-2.28,c1ccccc1c2cc[n+](C)cc2.[I-]
036975-20-9,1.47,S1C(N)=NC(C)=C1C(=O)CCN(C)C
037053-15-9,-0.66,C1=CC(=O)C(O)=CN1CCN
037080-10-7,2.73,c1cc(OCC)ccc1C=CC(=O)C
037096-14-3,-1.48,c1ncccc1C2CC(O)C(=O)N2C
037107-20-3,0.75,c1cc(Cl)ccc1N2C(=O)C(NC(=O)C)=CC2=O
037148-00-8,1.37,c1c(Br)cc2N=C(C)NS(=O)(=O)c2c1
037148-00-8,1.42,c1c(Br)cc2N=C(C)NS(=O)(=O)c2c1
037148-02-0,1.61,CC1=Nc2ccc(I)cc2S(=O)(=O)N1
037148-03-1,1.25,c1c(CC)cc2N=C(C)NS(=O)(=O)c2c1
037148-03-1,0.52,c1c(CC)cc2N=C(C)NS(=O)(=O)c2c1
037148-07-5,0.65,CC1=Nc2ccc(cc2S(=O)(=O)N1)N(=O)=O
037148-08-6,0.63,Clc1c(N)cc2N=C(C)NS(=O)(=O)c2c1
037148-08-6,1.25,Clc1c(N)cc2N=C(C)NS(=O)(=O)c2c1
037148-09-7,0.53,Clc1c(NC(=O)C)cc2N=C(C)NS(=O)(=O)c2c1
037148-13-3,1.81,Clc1cc(I)c2N=C(C)NS(=O)(=O)c2c1
037148-13-3,0.63,Clc1cc(I)c2N=C(C)NS(=O)(=O)c2c1
037148-19-9,2.04,c1c(Cl)cc2N=C(CCC)NS(=O)(=O)c2c1
037148-19-9,2.04,c1c(Cl)cc2N=C(CCC)NS(=O)(=O)c2c1
037148-20-2,2.00,c1c(Cl)cc2N=C(C(C)C)NS(=O)(=O)c2c1
037148-20-2,2.00,c1c(Cl)cc2N=C(C(C)C)NS(=O)(=O)c2c1
037148-21-3,2.35,c1c(Cl)cc2N=C(CC(C)C)NS(=O)(=O)c2c1
037148-21-3,2.35,c1c(Cl)cc2N=C(CC(C)C)NS(=O)(=O)c2c1
037148-22-4,2.47,Clc1ccc2N=C(C(C)CC)NS(=O)(=O)c2c1
037148-22-4,2.47,Clc1ccc2N=C(C(C)CC)NS(=O)(=O)c2c1
037148-24-6,2.24,Clc1ccc2N=C(C3CCC3)NS(=O)(=O)c2c1
037148-24-6,2.24,Clc1ccc2N=C(C3CCC3)NS(=O)(=O)c2c1
037157-54-3,2.71,Clc1ccc2N=C(CC(C)(C)C)NS(=O)(=O)c2c1
037157-54-3,2.71,Clc1ccc2N=C(CC(C)(C)C)NS(=O)(=O)c2c1
037157-57-6,1.68,c1c(Cl)cc2N=C(CCl)NS(=O)(=O)c2c1
037157-57-6,1.68,c1c(Cl)cc2N=C(CCl)NS(=O)(=O)c2c1
037157-59-8,1.96,CC=CC1=Nc2cc(Cl)ccc2S(=O)(=O)N1
037157-71-4,1.12,c1c(Cl)cc2N=C(COC)NS(=O)(=O)c2c1
037157-71-4,1.12,c1c(Cl)cc2N=C(COC)NS(=O)(=O)c2c1
037157-79-2,0.85,Clc1cc(N(=O)(=O))c2N=C(C)NS(=O)(=O)c2c1
037157-79-2,0.85,Clc1cc(N(=O)(=O))c2N=C(C)NS(=O)(=O)c2c1
037157-82-7,0.32,N(C)(C)S(=O)(=O)c1ccc2N=C(C)NS(=O)(=O)c2c1
037157-82-7,0.32,N(C)(C)S(=O)(=O)c1ccc2N=C(C)NS(=O)(=O)c2c1
037157-85-0,2.52,Clc1ccc2N=C(CCCC)NS(=O)(=O)c2c1
037157-85-0,2.52,Clc1ccc2N=C(CCCC)NS(=O)(=O)c2c1
037157-88-3,2.20,O=S1(=O)NC(=Nc2ccccc21)C3CCCCC3
037157-89-4,1.69,c1cc2S(=O)(=O)NC(C3=CCCC3)=Nc2cc1
037157-90-7,1.53,c1cc2S(=O)(=O)NC(C3CC=CC3)=Nc2cc1
037157-91-8,2.05,c1ccc2N=C(C3CC=CCC3)NS(=O)(=O)c2c1
037157-91-8,2.05,c1ccc2N=C(C3CC=CCC3)NS(=O)(=O)c2c1
037157-92-9,2.06,c1ccc2N=C(C3C(C4)C=CC4C3)NS(=O)(=O)c2c1
037157-92-9,2.06,c1ccc2N=C(C3C(C4)C=CC4C3)NS(=O)(=O)c2c1
037157-95-2,1.68,c1ccc2N=C(c3cccs3)NS(=O)(=O)c2c1
037157-95-2,1.68,c1ccc2N=C(c3cccs3)NS(=O)(=O)c2c1
037157-96-3,1.06,c1ccc2N=C(c3ccco3)NS(=O)(=O)c2c1
037157-96-3,1.06,c1ccc2N=C(c3ccco3)NS(=O)(=O)c2c1
037157-97-4,1.81,c1c(Cl)cc2N=C(C(Cl)Cl)NS(=O)(=O)c2c1
037157-97-4,1.81,c1c(Cl)cc2N=C(C(Cl)Cl)NS(=O)(=O)c2c1
037157-99-6,0.91,c1c(Cl)cc2NC(N)=NS(=O)(=O)c2c1
037158-00-2,2.26,c1c(Cl)cc2N=C(CSCC)NS(=O)(=O)c2c1
037158-00-2,2.26,c1c(Cl)cc2N=C(CSCC)NS(=O)(=O)c2c1
037163-41-0,2.70,C2CCCCN2CC(=O)Nc1ccc(F)cc1
037174-09-7,1.88,C(F)(F)(F)CN(CC)CC
037178-37-3,0.28,c1c(O)c(O)ccc1CC(N)C(=O)OCC
037183-26-9,2.87,Oc1ccccc1C(=O)Nc2ccccc2N(=O)(=O)
037183-28-1,5.49,Oc1ccccc1C(=O)Nc2ccc(Cl)cc2Cl
037350-58-6,1.88,COCCc1ccc(OCC(O)CNC(C)C)cc1
037385-07-2,0.16,S1C(N(=O)=O)=CN=C1N=C2N(C)CC(O)CN2C
037385-10-7,1.82,S1C(N(=O)=O)=CN=C1N=C2NC(C)CN2
037385-14-1,2.35,N1(C)C(C)(C)CNC1=NC2=NC=C(N(=O)=O)S2
037394-79-9,0.74,N1CC(O)CNC1=NC2=NC=C(N(=O)=O)S2
037399-40-9,4.09,Oc1ccccc1C(=O)Nc2ccc(Cl)cc2N(=O)(=O)
037422-15-4,1.78,CSC1=NCCN1c2ncc(N(=O)(=O))s2
037427-69-3,1.88,CC(=O)OCCN1CCSC1=Nc2ncc(N(=O)(=O))s2
037517-30-9,1.71,CC(=O)c1cc(NC(=O)CCC)ccc1OCC(O)CNC(C)C
037571-27-0,1.80,N1=C2c3ccccc3ccC2=NN1c4cc(S(=O)(=O)[O-])c(C=Cc5ccccc5)cc4.[Na+]
037595-73-6,3.60,c1cc(C)ccc1NS(=O)(=O)C(F)(F)F
037619-24-2,1.80,CN1C=CC=C1C(=O)OC
037640-71-4,4.86,C1c2ccccc2CC1N(c3ccccc3)CCCN(CC)CC
037680-65-2,5.55,Clc1ccc(Cl)c(c1)c2ccccc2Cl
037680-66-3,5.76,Clc1ccc(c(Cl)c1)c2ccccc2Cl
037680-73-2,6.80,Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)cc2Cl
037761-96-9,1.27,N1=C(c3ccccc3)NC(=O)C2=C1N=NN2
037764-25-3,1.84,O=C(N(CC=C)CC=C)C(Cl)Cl
037764-93-5,2.84,c1ccccc1C2=[N+](c3ccccc3)N=C(Nc4ccccc4)S2.[Cl-]
037793-01-4,-0.89,O1C(O)C(NC(=O)N(C)N=O)C(O)C(O)C1CO
037793-02-5,-0.92,O1C(O)C(NC(=O)N(C)N=O)C(O)C(O)C1CO
037813-54-0,1.85,n1nc(SC)ccc1SC
037853-59-1,8.90,O(c(c(cc(c1)Br)Br)c1Br)CCOc(c(cc(c2)Br)Br)c2Br
037865-86-4,2.53,c12NC=Cc1ccc(OCC)c2
037871-00-4,8.00,Clc3c(c(c(c2c3Oc1c(cc(c(c1Cl)Cl)Cl)O2)Cl)Cl)Cl
037873-43-1,1.30,c1c(Br)ccc(C=NNC(=N)N)c1
037895-44-6,0.03,CC1=N(=O)ON=C1C(=O)N
037895-45-7,0.36,CC1=NON(=O)=C1C(=O)N
037933-88-3,-0.61,CC(C)C(NC(=O)C)C(=O)N
037941-84-7,1.07,CCOC(=O)C(CC(C)C)NC(=O)CNC(=O)CNC(=O)CCCCSc1c2NC=Nc2ncn1
037962-27-9,2.79,O=C(NN=Cc1ccc(o1)N(=O)=O)C=Cc2ccc(o2)N(=O)=O
037984-36-4,4.64,c1cc(Cl)c(C)c(Nc2ccccc2CC(=O)O)c1
037989-04-1,2.74,n1ccccc1c2cc3ccccc3c(N)n2
038028-67-0,1.28,n1c(OCC)cncc1
038035-81-3,2.99,c1ccccc1C2=Cc3ccccc3NC2=O
038051-10-4,2.83,O=P(OCCCl)(OCCCl)OCC(CCl)(CCl)COP(=O)(OCCCl)OCCCl
038064-90-3,2.76,COc1cc(OC)c(C)cc1
038087-61-5,0.90,CC(=O)NC(C(=O)NC1C2SC(C)(C)C(N2C1=O)C(=O)O)c3ccccc3
038099-11-5,-1.82,C1=C(N=NN(C)C)C(=O)NC(=O)N1C2C(O)C(O)C(CO)O2
038103-61-6,2.22,c1cc(C(=O)N)ccc1OCCNCC(O)COc2c(C)cccc2
038191-26-3,0.33,c1cccc(O)c1NC(=O)NN
038194-50-2,3.42,CC2=C(CC(O)=O)c1cc(F)ccc1C2=Cc3ccc(cc3)S(C)=O
038196-44-0,5.26,C1=CC(=O)C=C2CCC3C4CC(C)C(OC(=O)CCCC)(C(=O)COC(=O)CCCC)C4(C)CC(O)C3(F)C12C
038196-45-1,3.82,CCCCC(=O)OC1(CCC2C3CCC4=CC(=O)C=CC4(C)C3C(=O)CC21C)C(=O)CO
038212-33-8,2.01,c1cc(Cl)ccc1N2CCNCC2
038212-89-4,3.14,c1ccccc1C(C(=O)Oc2ccccc2)C(=O)NC3C(=O)N4C(C(=O)O)C(C)(C)SC34
038235-68-6,2.05,C1(C2(C)C)CC2CCC1CN
038291-82-6,-0.11,CCCCC(=O)NN
038304-91-5,1.24,C1CCCCN1c2nc(N)n(=O)c(N)c2
038326-28-2,1.63,CCc1cccc2=NC(C)=CC(=O)n12
038326-36-2,0.15,C1CN2C(=O)C(C(=O)OCC)=CN=C2CC1
038353-69-4,1.85,c1ccccc1C(=O)OCCOC(=O)C
038363-40-5,4.15,C1CCCC1c2ccccc2OCC(O)CNC(C)(C)C
038367-19-0,3.45,C2CCCCN2CC(=O)Nc1cc(Cl)ccc1
038367-20-3,2.97,C1CCCCN1CC(=O)Nc2cc(C)ccc2
038367-22-5,2.72,C2CCCCN2CC(=O)Nc1ccc(N(=O)(=O))cc1
038367-23-6,2.76,C2CCCCN2CC(=O)Nc1ccccc1Cl
038379-99-6,6.55,Clc1ccc(Cl)c(c1)c2c(Cl)ccc(Cl)c2Cl
038380-01-7,7.21,Clc1ccc(c(Cl)c1)c2cc(Cl)c(Cl)cc2Cl
038380-02-8,6.85,Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2Cl
038380-03-9,6.22,c1(Cl)ccc(Cl)c(Cl)c1c2cc(Cl)c(Cl)cc2
038380-04-0,7.28,Clc1cc(Cl)c(cc1Cl)c2c(Cl)ccc(Cl)c2Cl
038380-05-1,7.04,Clc1ccc(c(Cl)c1Cl)c2c(Cl)ccc(Cl)c2Cl
038380-07-3,7.31,Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl
038380-08-4,7.60,Clc1c(c(cc(c1Cl)c2cc(c(cc2)Cl)Cl)Cl)Cl
038397-06-7,3.50,c1c(N(=O)(=O))cc2cccc(O)c2c1
038407-85-1,0.28,c1cc(N(C)C)ccc1C=NNC(N)=N
038411-22-2,7.12,Clc1ccc(Cl)c(c1Cl)c2c(Cl)ccc(Cl)c2Cl
038444-73-4,5.48,Clc1ccccc1c2c(Cl)cccc2Cl
038444-77-8,5.75,Clc1ccc(cc1)c2c(Cl)cccc2Cl
038444-78-9,5.31,Clc1cccc(c1Cl)c2ccccc2Cl
038444-81-4,5.76,Clc1cccc(c1)c2cc(Cl)ccc2Cl
038444-84-7,5.57,Clc1cccc(c1)c2cccc(Cl)c2Cl
038444-85-8,5.42,Clc1ccc(cc1)c2cccc(Cl)c2Cl
038444-86-9,5.87,c1c(Cl)c(Cl)ccc1c2c(Cl)cccc2
038444-87-0,5.81,Clc1cccc(c1)c2cc(Cl)cc(Cl)c2
038444-90-5,5.90,Clc1ccc(cc1)c2ccc(Cl)c(Cl)c2
038444-93-8,6.18,Clc1cccc(c1Cl)c2cccc(Cl)c2Cl
038488-14-1,2.70,c1cc(C)ccc1C(=O)CS(=O)(=O)c2ccccc2
038488-19-6,2.69,c1cc(Cl)ccc1C(=O)CS(=O)(=O)c2ccccc2
038507-32-3,0.99,C1(=O)N(C)C(=O)C(N(C)C)=C(C)N1C
038557-71-0,1.04,n1c(C)cncc1Cl
038580-89-1,1.38,CN(C)C(=O)OC(C)C
038603-23-5,0.16,N1=CNC=C1CSCCNC(=S)NC
038603-64-4,-0.06,CNC(=O)NCCSCc1nc[nH]c1C
038604-70-5,1.31,CN(Nc1ccccc1)C(=O)C
038641-94-0,-5.40,OC(=O)CNCP(O)(O)=O
038695-60-2,0.38,C1=C(S(=O)(=O)C)SC=C1
038696-40-1,3.18,CCCC1=CSSC1=S
038717-24-7,0.90,COc1nnccc1N(C)C
038717-44-1,0.84,n1nc(N(C)C)cc(N(C)C)c1
038726-90-8,-0.87,CNC(=O)CNC(=O)C=N#N
038726-91-9,-0.62,CCNC(=O)CNC(=O)C=N#N
038727-55-8,3.60,CCOC(=O)CN(C(=O)CCl)c1c(CC)cccc1CC
038776-76-0,1.51,OC1C(C)(C)C2(O)C(O)CC3(C4)C(O)C(C4(C)O)CCC3C(C)C2C1
038780-37-9,0.36,Cl[Pt](Cl)(N(H)(H)C1CCC1)N(H)(H)C2CCC2
038780-39-1,-0.85,c1ccc2N(H)(H)[Pt](Cl)(Cl)N(H)(H)c2c1
038941-33-2,2.75,Brc1cc(Br)cc(Br)c1N=C2NCCN2
038954-41-5,1.43,c1ccccc1C2CC2NC(=O)C
039000-84-5,2.73,CCN(CC)C(C)C(=O)Nc1c(C)cccc1C
039001-02-0,8.60,Clc3c(Cl)c(Cl)c1c(oc2c(Cl)c(Cl)c(Cl)c(Cl)c12)c3Cl
039023-66-0,-2.27,c12ncnc(N)c1nc(Br)n2C3OC4COP(=O)(O)OC4C3O
039070-08-1,0.64,Cn1c(N(=O)(=O))ncc1C=C
039070-09-2,-0.89,Cn1c(N(=O)(=O))ncc1C(O)CO
039076-18-1,2.29,c1c(C)cccc1NC(=O)OC
039080-46-1,1.26,C1=C(C)N2C(=O)C(C)=CN=C2C=C1
039080-49-4,0.67,C1C(C)N2C(=O)C=C(C)N=C2CC1
039080-57-4,0.77,C1=CN2C(=O)C(C)=CN=C2C=C1
039080-62-1,0.57,C1CN2C(=O)C(C(=O)OCC)=CNC2CC1
039115-94-1,1.53,c1ccc(I)cc1C(=O)NN
039115-95-2,1.55,c1cc(I)ccc1C(=O)NN
039115-96-3,1.26,c1ccc(Br)cc1C(=O)NN
039123-39-2,0.23,c1cnncc1C(=O)OCC
039148-24-8,-2.40,[Al](OP(=O)OCC)(OP(=O)OCC)OP(=O)OCC
039170-83-7,2.10,C1C(C)C(O)C(C)CC1
039170-84-8,2.37,C1C(C)C(O)C(C)CC1
039190-66-4,2.07,CCCNCC(C)C
039190-67-5,1.91,CCCNC(C)CC
039201-78-0,1.70,NCCc1cc(OC)c(OCCC)c(OC)c1
039201-82-6,1.11,c1c(OC)c(OCC)c(OC)cc1CCN
039209-88-6,2.31,c1ccc2ncc(OC)nc2c1
039227-28-6,7.80,c12c(Oc3cc(Cl)c(cc3O1)Cl)c(c(Cl)c(c2Cl)Cl)Cl
039227-53-7,4.75,Clc2cccc3Oc1ccccc1Oc23
039227-54-8,5.00,Clc3ccc2Oc1ccccc1Oc2c3
039227-58-2,6.35,Clc3cc(Cl)c2Oc1ccccc1Oc2c3Cl
039227-61-7,7.40,Clc1c(Cl)c(Cl)c2Oc3ccc(Cl)cc3Oc2c1Cl
039495-15-3,0.17,CC(=O)Nc1c(C)cc(O)cc1
039512-50-0,2.13,c1(Cl)ccccc1N2CCNCC2
039512-51-1,2.14,C1CNCCN1c2ccccc2C
039515-41-8,5.70,CC3(C)C(C(=O)OC(C#N)c2cccc(Oc1ccccc1)c2)C3(C)C
039515-51-0,3.38,O=Cc(cc(Oc(cccc1)c1)cc2)c2
039552-01-7,2.02,CC(C)NCC(O)COc1c2OC(C(=O)C)=Cc2ccc1
039562-70-4,2.88,c1ccc(N(=O)=O)cc1C2C(C(=O)OC)=C(C)NC(C)=C2C(=O)OCC
039617-16-8,0.32,c1cc(CNC(=O)C)ccc1OCC(O)CNC(C)C
039624-86-7,3.51,CCOP(=S)(OCC)Oc1cccc(F)n1
039635-34-2,7.47,c1c(Cl)cc(Cl)c(Cl)c1c2cc(Cl)c(Cl)c(Cl)c2
039635-35-3,7.43,Clc2c(c(cc(c2Cl)c1cc(cc(c1)Cl)Cl)Cl)Cl
039638-51-2,0.76,c1c(O)c(O)ccc1CC(N)C(=O)OCCC
039640-62-5,-0.65,n1ccc(CC(=O)N)cc1
039700-44-2,0.60,C1C(=S)OCC1
039765-80-5,6.35,ClC12C(Cl)(Cl)C(C(C(Cl)C3Cl)C2C3Cl)(Cl)C(Cl)=C1Cl
039791-38-3,2.45,C1C(=O)C=C2CCC3C4CCC(OC(=O)C)(C(=O)CO)C4(C)CC(=O)C3C2(C)C1
039807-15-3,3.95,O=C(OC(=N1)C(C)(C)C)N1c(c(cc(c2OCC#C)Cl)Cl)c2
039824-09-4,-1.04,O1C(CO)C(O)C(O)C(O)C1OCCCC
039824-10-7,-0.42,O1C(CO)C(O)C(O)C(O)C1OCCCCC
039824-11-8,0.16,O1C(CO)C(O)C(O)C(O)C1OCCCCCC
039835-28-4,1.46,c1c(N(=O)(=O))cc2cnoc2c1
039845-47-1,4.28,Oc1cc2CCC3C4CCC(O)(C#C)C4(C)CC(CC)C3c2cc1
039856-64-9,3.24,o1cc(COC(=O)C)cc1Cc2ccccc2
039860-12-3,1.47,c1c(C)cc2nc(N)n(C)c2c1
039880-77-8,0.84,S1C=CC=C1C(=O)NC
039905-57-2,3.64,O(c(ccc(N)c1)c1)CCCCCC
039923-25-6,1.63,O=P(OCC)(OCC)SCN1C(=O)c2ccccc2N=N1
039928-74-0,-0.10,C1=C(C=O)N(C)C(N(=O)=O)=N1
039935-49-4,-0.86,C1CC(O)=CC(=O)N1C2C(O)C(O)C(CO)O2
039938-79-9,-0.10,CN(C)C(=O)Nc1cc(N)ccc1
039942-91-1,1.54,c1ccccc1CN(C)N=NC2=C(C(=O)N)N=CN2
039960-99-1,-0.48,c1cc(C(=O)N)ccc1C(O)C(CO)NC(=O)C(Cl)Cl
039961-02-9,0.75,c1cc(NC(=O)C2CC2)ccc1C(O)C(CO)NC(=O)C(Cl)Cl
039961-07-4,-0.60,c1cc(NC(=O)N)ccc1C(O)C(CO)NC(=O)C(Cl)Cl
039965-42-9,2.33,c1cc(N(=O)(=O))oc1C=CC(=O)NC(C)(C)C
039980-81-9,1.08,NC(=O)c1nc[nH]c1N=NN(C)C(C)CC
040016-42-0,1.70,S1C(N(=O)=O)=CN=C1N2C(=S)NCC2
040026-24-2,2.40,c1(Cl)cc2CCC(C(=O)O)Oc2cc1
040027-72-3,0.66,c1cc(N(=O)(=O))ccc1C(O)C(CO)NC(=O)C(Br)
040027-73-4,1.03,c1cc(N(=O)(=O))ccc1C(O)C(CO)NC(=O)C(I)
040065-00-7,1.42,N1CCNC1=Nc2ccccc2C(F)(F)F
040065-09-6,2.66,Clc1cc(Br)cc(Cl)c1N=C2NCCN2
040078-42-0,2.91,O=CNC(C(OCC)=O)=CC=CC1=CC=CC=C1
040088-47-9,6.05,Brc2c(c(ccc2Oc1cc(ccc1)Br)Br)Br
040089-90-5,5.00,CCCCCCCc1ccncc1
040117-28-0,1.21,c1cc(OC)ccc1C=N(=O)C(C)(C)C
040117-29-1,1.74,c1cc(C)ccc1C=N(=O)C(C)(C)C
040186-72-9,9.14,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1c2c(Cl)c(Cl)c(Cl)c(Cl)c2
040228-90-8,3.63,c1ccccc1CCCCCCC(=O)O
040246-14-8,2.45,CC1OC(CC(OC(=O)C)C1O)OC2C(C)OC(CC2O)OC3C(C)OC(CC3OC(=O)C)OC4CCC5(C)C(CCC6C5CC(O)C7(C)C(CCC67O)C8=CC(=O)OC8)C4
040256-75-5,3.11,COc1ccc(Cl)cc1C(=O)NCCN(CC)CC
040257-94-1,3.20,c1cc(C)ccc1NN=C(C#N)C#N
040262-48-4,1.12,n1c(C#N)cncc1N(C)C
040262-54-2,0.90,n1c(N(C)C)cncc1C(=O)OC
040262-55-3,0.38,n1c(N(C)C)cncc1C(=O)N
040274-67-7,3.12,c1ccc2Oc3ccc(C(=O)O)cc3C(=O)c2c1
040279-26-3,3.04,c1ccc2ccc(SC)nc2c1
040295-80-5,2.68,OC(C)c1cc2ccccc2cc1
040297-47-0,2.71,c1c(OC)cccc1NC(=O)CN2CCCCC2
040321-76-4,6.64,ClC(C1=C2OC(C=C3Cl)=C(C=C3Cl)O1)=C(C(Cl)=C2)Cl
040361-79-3,0.51,Cn1c(N(=O)(=O))ncc1C(=O)OC
040427-75-6,1.46,CCCCCCCCOC1C(O)C(O)C(O)C(CO)O1
040487-42-1,5.20,CCC(CC)Nc1c(cc(C)c(C)c1N(=O)=O)N(=O)=O
040533-52-6,2.85,n1c(NCC2CC2)nc(Cl)nc1NCC
040574-52-5,3.08,CC13CCC(=O)C=C1C2CC2C4C3CCC5(C)C4CCC56CCC(=O)O6
040575-34-6,3.94,c1cc(Cl)cc(Cl)c1OC(=O)N2CCCC2
040580-75-4,-0.23,Cc1c(C)cc2N(H)(H)[Pt](Cl)(Cl)N(H)(H)c2c1
040581-94-0,6.39,Clc3cc2c(cc3Cl)Oc1c(c(ccc1Cl)Cl)O2
040596-69-8,5.50,COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C
040611-76-5,1.96,N1C=C(C(=O)OC)C=C1C
040637-78-3,0.10,NC(=O)c1c(N(=O)(=O))cccc1C
040647-30-1,0.04,N1(C)C(N(=O)=O)=NC=C1C=N(C)=O
040673-68-5,1.59,CC(=O)c1ccccc1NCCO
040725-71-1,0.82,C1CCCN1P(=O)(N(C)C)N(C)C
040805-79-6,-0.50,N#Cc1cncnc1
040837-24-9,1.32,c1c(N)cc2C(c3ccccc3)=NCC(=O)N(COC)c2c1
040837-34-1,1.31,c1c(N)cc2C(c3ccccc3F)=NCC(=O)N(COC)c2c1
040843-25-2,4.58,OC(=O)C(C)Oc2ccc(Oc1ccc(Cl)cc1Cl)cc2
040852-07-1,2.39,CSc1nc2ncc(Cl)cc2[nH]1
040861-87-8,1.40,CC1=CC(=O)C(O)=C(CCC)O1
040863-78-3,1.54,COC1=C(C)C(=O)c2c(C1=O)c(COC(=O)N)c3C(CCn32)OC(=O)C
040912-73-0,2.76,c1c(Br)cc(C)c(O)c1C(=O)N
040912-87-6,3.51,c1(O)c(C)cc(Br)cc1C(=O)NC
040912-88-7,3.61,c1c(Br)cc(C)c(O)c1C(=O)NCC
040912-89-8,4.21,c1c(Br)cc(C)c(O)c1C(=O)NCCCC
040919-33-3,-2.43,C1=CN(=O)=NC(=O)N1C2C(O)C(O)C(CO)O2
040929-49-5,-0.92,n1cncc(C(=O)N)c1
040929-50-8,0.52,c1ncncc1C(=O)OCC
040948-30-9,1.27,c1ccccc1C(=O)NCCCN(C)C
041020-65-9,1.94,COC(=O)C1CC2=CC(=O)CCC2(C)C3CCC4(C)C(CCC54CCC(=O)O5)C13
041020-77-3,2.54,CCOC(=O)C1CC2=CC(=O)CCC2(C)C3CCC4(C)C(CCC54CCC(=O)O5)C13
041020-79-5,2.82,CC(C)OC(=O)C1CC2=CC(=O)CCC2(C)C3CCC4(C)C(CCC54CCC(=O)O5)C13
041038-69-1,0.44,n1cc(CCCN)ccc1
041078-01-7,-0.11,N1C(=O)N(CC)C(N2)=C(N=C2)C1=O
041078-02-8,0.33,N1C(=O)N(CCC)c2nc[nH]c2C1=O
041078-03-9,0.84,N1C(=O)N(CCCC)c2nc[nH]c2C1=O
041083-11-8,5.30,C1CCCCC1[Sn](C2CCCCC2)(C3CCCCC3)n4ncnc4
041100-45-2,3.40,NC13CC2CC(C3)CC(CC)(C2)C1
041107-56-6,-0.49,O1C(CO)C(F)CC1N2C(=O)NC(=O)C=C2
041110-33-2,0.17,n1cc(C)ncc1C(=O)OC
041110-34-3,0.61,n1cc(C)ncc1C(=O)OCC
041110-38-7,0.10,n1c(C)cncc1C(=O)OC
041110-39-8,0.51,n1c(C)cncc1C(=O)OCC
041110-59-2,-1.57,O1C(OC)C(O)C(O)C(O)C1CNC(=O)N(C)N=O
041122-70-7,6.09,N#Cc(ccc(c(ccc(c1)CCCCCC)c1)c2)c2
041167-74-2,1.18,O=C1CCC(=O)N1c2ccc(Br)cc2
041198-08-7,4.68,CCCSP(=O)(OCC)Oc1ccc(Br)cc1Cl
041205-21-4,2.30,c1cc(F)ccc1N2C(=O)C(Cl)=C(Cl)C2(=O)
041229-10-1,2.92,c1ccc2c(N3CCCCC3)ncnc2c1
041394-05-2,0.83,c1ccccc1C2=NN=C(C)N(N)C2(=O)
041410-39-3,1.05,c1ccccc1NC(=N)NC(#N)
041411-62-5,7.30,Clc2c(c(c(c(c2Cl)Cl)Cl)Cl)c1cccc(c1)Cl
041411-63-6,7.31,Clc2c(c(c(c(c2Cl)Cl)Cl)Cl)c1ccc(cc1)Cl
041451-75-6,1.66,CC12CC(=O)C(O)=C(C)C1CC3OC(=O)C(OC(=O)C=C(C)C(C)C)C4C3(C5)C2C(O)C(O)C4(O5)C(=O)OC
041464-39-5,5.81,Clc1ccc(Cl)c(c1)c2cccc(Cl)c2Cl
041464-40-8,6.22,Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl
041464-49-7,6.17,Clc(ccc1)c(Cl)c1c(cc(Cl)c2)cc2Cl
041464-51-1,6.67,Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl
041483-43-6,2.70,CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C
041532-81-4,1.73,COCCOc1ccccc1
041536-80-5,-0.45,n1cc(N)nc(N)c1
041538-42-5,3.91,c1c(OC)c(C(C)(C)C)cc(OC)c1CC(N)C
041550-04-3,-1.50,C1CC(C)CC1CN(I)(C)(C)C
041637-05-2,-0.32,Cl[Pt](Cl)(N(H)(H)C(C)C)N(H)(H)C(C)C
041643-81-6,2.90,c1cc2c(OCC(=O)OCC)cccc2cc1
041656-75-1,0.94,c1cc(C(=O)C)ccc1NC=O
041708-72-9,0.76,Cc1cccc(C)c1NC(=O)C(C)N
041744-40-5,0.59,c1ccccc1C(S(=O)(=O)O)C(=O)NC2C3SC(C)(C)C(C(=O)O)N3C2=O
041814-78-2,1.70,Cc1cccc2sc3nncn3c12
041859-85-2,1.87,c1cc(O)ccc1CNC(=O)c2ccccc2
041941-66-6,-0.98,c12ncnc(N)c1nc(Sc5ccc(Cl)cc5)n2C3OC4COP(=O)(O)OC4C3O
041992-17-0,3.32,C1CC(=O)CC[Ge]1(CC)CC
041992-55-6,3.40,ClC1C=CC(Cl)C(Cl)C1Cl
042013-74-1,0.53,C1C(C)(C)N(=O)C(C)(C)CC1N(C)CCO
042103-65-1,2.27,c1ccccc1OC=CC(=O)O
042116-76-7,1.15,Cc1ncc(N(=O)(=O))n1CCNC(=S)OC
042126-84-1,5.78,C1=CC=C2C3=CC=C4C=CCC(=C5)C4=C3C(=C5)C2=C1
